Date	IBEX	SAN.MC	BBVA.MC	REP.MC	ITX.MC	TL5.MC
18/12/2019	9621.799805	3.621102	4.820614	13.187585	31.1	5.548
19/12/2019	9617.200195	3.620625	4.876437	13.187585	31.27	5.52
20/12/2019	9675.5	3.6459	4.865083	13.286633	31.43	5.578
23/12/2019	9659.599609	3.591057	4.815884	13.347949	31.66	5.59
24/12/2019	9661.799805	3.581519	4.788445	13.352665	31.77	5.52
25/12/2019	9681.149903	3.581519	4.788445	13.352665	31.77	5.52
27/12/2019	9700.5	3.58295	4.76763	13.395115	32.150002	5.584
30/12/2019	9612.599609	3.569597	4.735461	13.324366	31.75	5.576
31/12/2019	9549.200195	3.557674	4.714646	13.140419	31.450001	5.66
02/01/2020	9691.200195	3.687391	4.834806	13.267767	31.75	5.616
03/01/2020	9646.599609	3.630163	4.781822	13.432847	31.809999	5.596
06/01/2020	9600.900391	3.600118	4.761007	13.536613	31.530001	5.606
07/01/2020	9579.799805	3.58295	4.740192	13.423414	31.93	5.67
08/01/2020	9591.400391	3.585334	4.785607	13.546045	32	5.658
09/01/2020	9581.799805	3.594395	4.806422	13.366816	31.870001	5.53
10/01/2020	9573.599609	3.545751	4.727892	13.508313	31.57	5.478
13/01/2020	9543.900391	3.521429	4.657404	13.437564	31.59	5.438
14/01/2020	9528.299805	3.451802	4.597324	13.428131	31.5	5.496
15/01/2020	9511.700195	3.416988	4.519267	13.300783	31.379999	5.448
16/01/2020	9572.5	3.466109	4.529674	13.343233	31.280001	5.448
17/01/2020	9681.299805	3.507599	4.547651	13.244184	31.75	5.484
20/01/2020	9658.799805	3.466109	4.50744	13.130986	31.18	5.518
21/01/2020	9611.299805	3.450848	4.492301	12.994205	31.280001	5.492
22/01/2020	9573.700195	3.411742	4.444994	12.829124	31.030001	5.336
23/01/2020	9518.5	3.406974	4.412825	12.385765	31.02	5.24
24/01/2020	9562	3.376452	4.358895	12.357466	31.139999	5.2
27/01/2020	9366.299805	3.315409	4.287461	11.932972	30.459999	5.17
28/01/2020	9484.200195	3.386944	4.352745	12.04617	30.93	5.176
29/01/2020	9546.700195	3.536213	4.416137	12.069754	31.030001	5.134
30/01/2020	9477.900391	3.497108	4.454929	11.86694	30.92	5.088
31/01/2020	9367.900391	3.389805	4.417083	11.758458	30.370001	4.951
03/02/2020	9404.700195	3.397912	4.413771	11.588661	30.549999	4.96
04/02/2020	9562.900391	3.520476	4.527782	11.86694	31.26	4.979
05/02/2020	9717.799805	3.618717	4.661662	12.069754	31.43	5.072
06/02/2020	9811.299805	3.653054	4.825345	12.098053	31.959999	5.09
07/02/2020	9811	3.680714	4.945506	12.032021	31.889999	5.106
10/02/2020	9816	3.659254	4.959698	11.876373	31.85	5.084
11/02/2020	9882.599609	3.691206	4.951182	12.022587	32	4.982
12/02/2020	9940.400391	3.772279	5.042012	12.04617	31.5	5.132
13/02/2020	9909.799805	3.757018	5.012682	11.947122	31.25	5.064
14/02/2020	9956.799805	3.742234	4.960644	11.932972	31.43	5.086
17/02/2020	10022.2002	3.770371	4.946452	11.815057	31.48	5.132
18/02/2020	10005.79981	3.716005	4.889683	11.645261	31.700001	5.046
19/02/2020	10083.59961	3.736034	4.89536	11.649977	32.080002	5.012
20/02/2020	9931	3.671176	4.82913	11.598094	31.58	5
21/02/2020	9886.200195	3.607271	4.834806	11.277366	31.59	4.942
24/02/2020	9483.5	3.453233	4.64747	10.673642	29.620001	4.582
25/02/2020	9250.799805	3.346407	4.497979	10.343481	29.309999	4.688
26/02/2020	9316.799805	3.381698	4.486152	10.249149	29.25	4.866
27/02/2020	8985.900391	3.261519	4.302126	9.914272	28.1	4.619
28/02/2020	8723.200195	3.173292	4.10107	9.555811	28.129999	4.57
02/03/2020	8741.5	3.104619	4.055182	9.635993	27.91	4.375
03/03/2020	8811.599609	3.08602	4.020175	9.763341	27.92	4.395
04/03/2020	8910	3.143248	4.093501	9.706741	28.26	4.241
05/03/2020	8683	2.983009	3.901433	9.518078	27.690001	3.956
06/03/2020	8375.599609	2.903844	3.814861	9.055853	26.84	3.94
09/03/2020	7708.700195	2.556184	3.311038	7.686154	25.51	3.595
10/03/2020	7461.5	2.529477	3.265623	7.810672	24.32	3.672
11/03/2020	7436.399902	2.613889	3.351249	7.846519	23.549999	3.546
12/03/2020	6390.899902	2.173233	2.846007	6.791889	21.07	3.023
13/03/2020	6629.600098	2.153203	2.880542	7.114504	21.299999	3.147
16/03/2020	6107.200195	1.924768	2.49546	6.390036	20.17	2.89
17/03/2020	6498.5	2.074515	2.668132	6.384376	21.059999	2.95
18/03/2020	6274.799805	1.945752	2.562637	5.793859	20.719999	2.81
19/03/2020	6395.799805	1.948613	2.65252	5.688208	20.75	2.851
20/03/2020	6443.299805	2.011564	2.730577	5.818385	21.58	2.8
23/03/2020	6230.200195	2.017287	2.634544	5.859891	21	2.666
24/03/2020	6717.299805	2.259552	2.924538	6.778683	23.57	2.85
25/03/2020	6942.399902	2.358747	3.087748	6.956027	23.5	3.153
26/03/2020	7033.200195	2.344917	3.102886	7.216383	24	3.2
27/03/2020	6777.899902	2.205662	2.93731	6.929614	22.99	3.2
30/03/2020	6659.899902	2.11219	2.762747	7.16167	22.709999	3.222
31/03/2020	6785.399902	2.115528	2.758489	7.859725	23.66	3.376
01/04/2020	6579.399902	2.047332	2.58014	7.640876	22.51	3.202
02/04/2020	6574.100098	2.052101	2.529995	8.101214	21.879999	3.182
03/04/2020	6581.600098	2.000118	2.600009	7.78426	21.98	3.07
