estacion,magnitud,ano,mes,dia,dato_no2
4,8,2019,04,d10,38
4,8,2019,04,d11,45
4,8,2019,04,d12,64
4,8,2019,04,d13,54
4,8,2019,04,d14,34
4,8,2019,04,d15,36
4,8,2019,04,d16,44
4,8,2019,04,d17,37
4,8,2019,04,d18,28
4,8,2019,04,d19,28
4,8,2019,04,d20,19
4,8,2019,04,d21,16
4,8,2019,04,d22,35
4,8,2019,04,d23,28
4,8,2019,04,d24,32
4,8,2019,04,d25,20
4,8,2019,04,d26,38
4,8,2019,04,d27,58
4,8,2019,04,d28,41
4,8,2019,04,d29,44
4,8,2019,04,d30,47
4,8,2019,04,d31,0
4,8,2019,05,d01,31
4,8,2019,05,d02,26
4,8,2019,05,d03,31
4,8,2019,05,d04,27
4,8,2019,05,d05,29
4,8,2019,05,d06,43
4,8,2019,05,d07,25
4,8,2019,05,d08,15
4,8,2019,05,d09,24
4,8,2019,05,d10,17
4,8,2019,05,d11,30
4,8,2019,05,d12,22
4,8,2019,05,d13,50
4,8,2019,05,d14,44
4,8,2019,05,d15,63
4,8,2019,05,d16,42
4,8,2019,05,d17,36
4,8,2019,05,d18,22
4,8,2019,05,d19,22
4,8,2019,05,d20,33
4,8,2019,05,d21,40
4,8,2019,05,d22,46
4,8,2019,05,d23,68
4,8,2019,05,d24,26
4,8,2019,05,d25,21
4,8,2019,05,d26,17
4,8,2019,05,d27,43
4,8,2019,05,d28,27
4,8,2019,05,d29,25
4,8,2019,05,d30,35
4,8,2019,05,d31,57
4,8,2019,06,d01,43
4,8,2019,06,d02,39
4,8,2019,06,d03,58
4,8,2019,06,d04,32
4,8,2019,06,d05,34
4,8,2019,06,d06,28
4,8,2019,06,d07,27
4,8,2019,06,d08,28
4,8,2019,06,d09,21
4,8,2019,06,d10,33
4,8,2019,06,d11,26
4,8,2019,06,d12,36
4,8,2019,06,d13,38
4,8,2019,06,d14,31
4,8,2019,06,d15,23
4,8,2019,06,d16,52
4,8,2019,06,d17,58
4,8,2019,06,d18,33
4,8,2019,06,d19,21
4,8,2019,06,d20,36
4,8,2019,06,d21,32
4,8,2019,06,d22,29
4,8,2019,06,d23,47
4,8,2019,06,d24,43
4,8,2019,06,d25,46
4,8,2019,06,d26,41
4,8,2019,06,d27,39
4,8,2019,06,d28,50
4,8,2019,06,d29,44
4,8,2019,06,d30,33
4,8,2019,06,d31,0
4,8,2019,07,d01,44
4,8,2019,07,d02,41
4,8,2019,07,d03,40
4,8,2019,07,d04,36
4,8,2019,07,d05,36
4,8,2019,07,d06,40
4,8,2019,07,d07,28
4,8,2019,07,d08,27
4,8,2019,07,d09,32
4,8,2019,07,d10,40
4,8,2019,07,d11,76
4,8,2019,07,d12,98
4,8,2019,07,d13,48
4,8,2019,07,d14,17
4,8,2019,07,d15,33
4,8,2019,07,d16,37
4,8,2019,07,d17,34
4,8,2019,07,d18,40
4,8,2019,07,d19,36
4,8,2019,07,d20,29
4,8,2019,07,d21,23
4,8,2019,07,d22,38
4,8,2019,07,d23,36
4,8,2019,07,d24,49
4,8,2019,07,d25,42
4,8,2019,07,d26,24
4,8,2019,07,d27,16
4,8,2019,07,d28,14
4,8,2019,07,d29,38
4,8,2019,07,d30,28
4,8,2019,07,d31,22
4,8,2019,08,d01,26
4,8,2019,08,d02,47
4,8,2019,08,d03,39
4,8,2019,08,d04,26
4,8,2019,08,d05,40
4,8,2019,08,d06,36
4,8,2019,08,d07,23
4,8,2019,08,d08,20
4,8,2019,08,d09,13
4,8,2019,08,d10,15
4,8,2019,08,d11,18
4,8,2019,08,d12,20
4,8,2019,08,d13,19
4,8,2019,08,d14,41
4,8,2019,08,d15,44
4,8,2019,08,d16,24
4,8,2019,08,d17,39
4,8,2019,08,d18,34
4,8,2019,08,d19,28
4,8,2019,08,d20,15
4,8,2019,08,d21,19
4,8,2019,08,d22,43
