estacion,magnitud,ano,mes,dia,dato_co
8,6,2019,02,d25,0.4
8,6,2019,02,d26,0.3
8,6,2019,02,d27,0.3
8,6,2019,02,d28,0.3
8,6,2019,02,d29,0
8,6,2019,02,d30,0
8,6,2019,02,d31,0
8,6,2019,03,d01,0.2
8,6,2019,03,d02,0.2
8,6,2019,03,d03,0.2
8,6,2019,03,d04,0.1
8,6,2019,03,d05,0.1
8,6,2019,03,d06,0.1
8,6,2019,03,d07,0.2
8,6,2019,03,d08,0.2
8,6,2019,03,d09,0.2
8,6,2019,03,d10,0.2
8,6,2019,03,d11,0.2
8,6,2019,03,d12,0.2
8,6,2019,03,d13,0.1
8,6,2019,03,d14,0.2
8,6,2019,03,d15,0.3
8,6,2019,03,d16,0.2
8,6,2019,03,d17,0.1
8,6,2019,03,d18,0.1
8,6,2019,03,d19,0.1
8,6,2019,03,d20,0.1
8,6,2019,03,d21,0.2
8,6,2019,03,d22,0.2
8,6,2019,03,d23,0.1
8,6,2019,03,d24,0.1
8,6,2019,03,d25,0.1
8,6,2019,03,d26,0.1
8,6,2019,03,d27,0.2
8,6,2019,03,d28,0.2
8,6,2019,03,d29,0.1
8,6,2019,03,d30,0.1
8,6,2019,03,d31,0.1
8,6,2019,04,d01,0.1
8,6,2019,04,d02,0.2
8,6,2019,04,d03,0.2
8,6,2019,04,d04,0.1
8,6,2019,04,d05,0.1
8,6,2019,04,d06,0.1
8,6,2019,04,d07,0.1
8,6,2019,04,d08,0.2
8,6,2019,04,d09,0.2
8,6,2019,04,d10,0.2
8,6,2019,04,d11,0.1
8,6,2019,04,d12,0.2
8,6,2019,04,d13,0.2
8,6,2019,04,d14,0.1
8,6,2019,04,d15,0.2
8,6,2019,04,d16,0.1
8,6,2019,04,d17,0.1
8,6,2019,04,d18,0.1
8,6,2019,04,d19,0.1
8,6,2019,04,d20,0.1
8,6,2019,04,d21,0.1
8,6,2019,04,d22,0.1
8,6,2019,04,d23,0.1
8,6,2019,04,d24,0.1
8,6,2019,04,d25,0.1
8,6,2019,04,d26,0.1
8,6,2019,04,d27,0.1
8,6,2019,04,d28,0.1
8,6,2019,04,d29,0.1
8,6,2019,04,d30,0.1
8,6,2019,04,d31,0
8,6,2019,05,d01,0.1
8,6,2019,05,d02,0.1
8,6,2019,05,d03,0.1
8,6,2019,05,d04,0.1
8,6,2019,05,d05,0.1
8,6,2019,05,d06,0.2
8,6,2019,05,d07,0.1
8,6,2019,05,d08,0.1
8,6,2019,05,d09,0.1
8,6,2019,05,d10,0.1
